Mes,Día,Milímetros
1,1,38
1,2,18
1,3,41
1,4,17
1,5,20
1,6,12
1,7,33
1,8,23
1,9,9
1,10,46
1,11,29
1,12,26
1,13,7
1,14,19
1,15,23
1,16,29
1,17,36
1,18,41
1,19,44
1,20,48
1,21,2
1,22,10
1,23,3
1,24,40
1,25,36
1,26,10
1,27,47
1,28,32
1,29,4
1,30,32
1,31,50
2,1,25
2,2,18
2,3,36
2,4,10
2,5,37
2,6,25
2,7,16
2,8,10
2,9,0
2,10,39
2,11,43
2,12,1
2,13,34
2,14,43
2,15,35
2,16,14
2,17,41
2,18,28
2,19,14
2,20,13
2,21,6
2,22,24
2,23,15
2,24,25
2,25,32
2,26,44
2,27,24
2,28,45
3,1,5
3,2,47
3,3,25
3,4,11
3,5,29
3,6,30
3,7,26
3,8,48
3,9,13
3,10,14
3,11,17
3,12,4
3,13,30
3,14,26
3,15,24
3,16,2
3,17,22
3,18,14
3,19,10
3,20,13
3,21,0
3,22,16
3,23,49
3,24,38
3,25,11
3,26,22
3,27,39
3,28,3
3,29,19
3,30,32
3,31,40
4,1,11
4,2,21
4,3,18
4,4,42
4,5,23
4,6,33
4,7,44
4,8,26
4,9,4
4,10,20
4,11,1
4,12,17
4,13,37
4,14,36
4,15,24
4,16,17
4,17,16
4,18,30
4,19,36
4,20,38
4,21,45
4,22,22
4,23,15
4,24,38
4,25,39
4,26,49
4,27,47
4,28,29
4,29,5
4,30,33
5,1,5
5,2,38
5,3,40
5,4,9
5,5,32
5,6,6
5,7,39
5,8,20
5,9,50
5,10,8
5,11,19
5,12,33
5,13,27
5,14,22
5,15,1
5,16,30
5,17,22
5,18,3
5,19,12
5,20,14
5,21,34
5,22,17
5,23,29
5,24,46
5,25,44
5,26,5
5,27,3
5,28,4
5,29,13
5,30,23
5,31,24
6,1,21
6,2,37
6,3,9
6,4,2
6,5,6
6,6,43
6,7,16
6,8,30
6,9,42
6,10,17
6,11,43
6,12,20
6,13,13
6,14,38
6,15,48
6,16,34
6,17,30
6,18,26
6,19,47
6,20,45
6,21,26
6,22,36
6,23,17
6,24,10
6,25,44
6,26,27
6,27,12
6,28,34
6,29,38
6,30,37
7,1,43
7,2,31
7,3,18
7,4,36
7,5,29
7,6,23
7,7,19
7,8,33
7,9,44
7,10,44
7,11,25
7,12,26
7,13,12
7,14,29
7,15,22
7,16,19
7,17,18
7,18,23
7,19,45
7,20,21
7,21,9
7,22,19
7,23,39
7,24,25
7,25,24
7,26,15
7,27,8
7,28,30
7,29,13
7,30,10
7,31,16
8,1,44
8,2,3
8,3,20
8,4,44
8,5,50
8,6,29
8,7,15
8,8,8
8,9,39
8,10,12
8,11,17
8,12,41
8,13,6
8,14,23
8,15,18
8,16,31
8,17,4
8,18,4
8,19,38
8,20,1
8,21,40
8,22,43
8,23,33
8,24,15
8,25,45
8,26,23
8,27,50
8,28,38
8,29,37
8,30,16
8,31,20
9,1,31
9,2,50
9,3,31
9,4,30
9,5,22
9,6,17
9,7,9
9,8,39
9,9,49
9,10,3
9,11,22
9,12,47
9,13,30
9,14,49
9,15,29
9,16,21
9,17,8
9,18,48
9,19,3
9,20,6
9,21,3
9,22,35
9,23,28
9,24,7
9,25,25
9,26,25
9,27,42
9,28,38
9,29,20
9,30,42
10,1,12
10,2,20
10,3,41
10,4,39
10,5,29
10,6,5
10,7,12
10,8,31
10,9,35
10,10,35
10,11,20
10,12,46
10,13,36
10,14,43
10,15,3
10,16,11
10,17,43
10,18,4
10,19,3
10,20,47
10,21,40
10,22,31
10,23,25
10,24,22
10,25,43
10,26,50
10,27,35
10,28,40
10,29,17
10,30,1
10,31,2
11,1,17
11,2,12
11,3,12
11,4,40
11,5,19
11,6,4
11,7,7
11,8,33
11,9,44
11,10,5
11,11,36
11,12,41
11,13,9
11,14,5
11,15,6
11,16,32
11,17,35
11,18,28
11,19,26
11,20,41
11,21,35
11,22,39
11,23,2
11,24,36
11,25,14
11,26,20
11,27,12
11,28,44
11,29,41
11,30,2
12,1,1
12,2,16
12,3,25
12,4,11
12,5,7
12,6,27
12,7,13
12,8,31
12,9,45
12,10,4
12,11,35
12,12,34
12,13,3
12,14,1
12,15,29
12,16,44
12,17,28
12,18,47
12,19,26
12,20,10
12,21,47
12,22,42
12,23,15
12,24,0
12,25,31
12,26,24
12,27,44
12,28,33
12,29,4
12,30,33
12,31,32
